DZ,Dzname,SIMD_Overall.Rank,SIMD_Income.Rank,SIMD_Employment.Rank,SIMD_Health.Rank,SIMD_Crime.Count,SIMD_Crime.Rank,Population,Working.Age.Population,University.Qual,Lacode,Laname,SPCcode,SPCname,Postcode
S01010418,Broomhill - 04,6514,5685,6001.5,6168,23,3370,1143,877,0.13,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G11 7HS
S01010419,Broomhill - 05,6811,6127,6251,6146,5,6142,982,690,0.19,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G11 7LL
S01010420,Victoria Park - 01,6027,5179,5504,5390,15,3204,707,413,0.22,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G14 9PH
S01010421,Victoria Park - 02,5701,5340,5163.5,5522,28,2048,874,554,0.21,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G14 9JZ
S01010422,Victoria Park - 03,4299,3515,3404,3105,24,3274,1156,752,0.23,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G14 9QW
S01010423,Whiteinch - 01,605,693,405,413,39,1289,896,654,0.03,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G14 9RT
S01010424,Whiteinch - 02,963,825,846,383,32,2044,998,689,0.08,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G14 0SD
S01010425,Whiteinch - 03,415,505,287,409,72,554,1073,769,0.03,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G14 0AE
S01010426,Whiteinch - 04,1579,1598,1034,1744,21,2321,722,541,0.04,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G14 9HF
S01010427,Scotstoun North and East - 01,917,644.5,660,1285,35,2208,1161,740,0.07,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G14 9AA
S01010428,Scotstoun North and East - 02,5436,4327,4863,4477,11,4165,730,463,0.21,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G14 9EW
S01010429,Scotstoun North and East - 03,6187,5442,4835,5411,18,3675,989,642,0.19,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G14 9EL
S01010430,Scotstoun North and East - 04,960,817,839,1043,34,1722,937,640,0.06,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G14 9BY
S01010431,Scotstoun North and East - 05,6762,6241,5732,6261,13,3500,675,445,0.27,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G14 9HJ
S01010432,Scotstoun South and West - 01,1356,1170,1099,1212,43,1101,902,662,0.10,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G14 0XA
S01010433,Scotstoun South and West - 02,251,175,222,422,44,508,631,441,0.04,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G14 9YR
